INFO:2023-03-08 11:12:59,152: Epoch [1/250], Step [1600/2474], Mel Loss: 0.81615, Adv Loss: 0.71671, Disc Loss: 1.37189, Mono Loss: 0.00000, S2S Loss: 0.00000
INFO:2023-03-08 11:14:22,449: Epoch [1/250], Step [1650/2474], Mel Loss: 0.83030, Adv Loss: 0.70163, Disc Loss: 1.38213, Mono Loss: 0.00000, S2S Loss: 0.00000
INFO:2023-03-08 11:15:44,845: Epoch [1/250], Step [1700/2474], Mel Loss: 0.81122, Adv Loss: 0.69682, Disc Loss: 1.37658, Mono Loss: 0.00000, S2S Loss: 0.00000
INFO:2023-03-08 11:17:08,324: Epoch [1/250], Step [1750/2474], Mel Loss: 0.80271, Adv Loss: 0.68366, Disc Loss: 1.36988, Mono Loss: 0.00000, S2S Loss: 0.00000
INFO:2023-03-08 11:18:30,675: Epoch [1/250], Step [1800/2474], Mel Loss: 0.80923, Adv Loss: 0.68202, Disc Loss: 1.37417, Mono Loss: 0.00000, S2S Loss: 0.00000
INFO:2023-03-08 11:19:52,230: Epoch [1/250], Step [1850/2474], Mel Loss: 0.80805, Adv Loss: 0.75142, Disc Loss: 1.36996, Mono Loss: 0.00000, S2S Loss: 0.00000
INFO:2023-03-08 11:21:11,154: Epoch [1/250], Step [1900/2474], Mel Loss: 0.80451, Adv Loss: 0.64545, Disc Loss: 1.38910, Mono Loss: 0.00000, S2S Loss: 0.00000
INFO:2023-03-08 11:22:31,265: Epoch [1/250], Step [1950/2474], Mel Loss: 0.79160, Adv Loss: 0.76638, Disc Loss: 1.37706, Mono Loss: 0.00000, S2S Loss: 0.00000
INFO:2023-03-08 11:23:52,157: Epoch [1/250], Step [2000/2474], Mel Loss: 0.80064, Adv Loss: 0.76349, Disc Loss: 1.39516, Mono Loss: 0.00000, S2S Loss: 0.00000
INFO:2023-03-08 11:25:13,978: Epoch [1/250], Step [2050/2474], Mel Loss: 0.80343, Adv Loss: 0.72360, Disc Loss: 1.37074, Mono Loss: 0.00000, S2S Loss: 0.00000
INFO:2023-03-08 11:26:35,006: Epoch [1/250], Step [2100/2474], Mel Loss: 0.78497, Adv Loss: 0.70765, Disc Loss: 1.38275, Mono Loss: 0.00000, S2S Loss: 0.00000
INFO:2023-03-08 11:27:56,239: Epoch [1/250], Step [2150/2474], Mel Loss: 0.79467, Adv Loss: 0.61304, Disc Loss: 1.37291, Mono Loss: 0.00000, S2S Loss: 0.00000
INFO:2023-03-08 11:29:17,161: Epoch [1/250], Step [2200/2474], Mel Loss: 0.78857, Adv Loss: 0.61850, Disc Loss: 1.38304, Mono Loss: 0.00000, S2S Loss: 0.00000
INFO:2023-03-08 11:30:40,601: Epoch [1/250], Step [2250/2474], Mel Loss: 0.79602, Adv Loss: 0.78786, Disc Loss: 1.38322, Mono Loss: 0.00000, S2S Loss: 0.00000
INFO:2023-03-08 11:32:03,214: Epoch [1/250], Step [2300/2474], Mel Loss: 0.79096, Adv Loss: 0.69576, Disc Loss: 1.37175, Mono Loss: 0.00000, S2S Loss: 0.00000
INFO:2023-03-08 11:33:26,276: Epoch [1/250], Step [2350/2474], Mel Loss: 0.78771, Adv Loss: 0.62573, Disc Loss: 1.37827, Mono Loss: 0.00000, S2S Loss: 0.00000
INFO:2023-03-08 11:34:49,287: Epoch [1/250], Step [2400/2474], Mel Loss: 0.78423, Adv Loss: 0.61688, Disc Loss: 1.39410, Mono Loss: 0.00000, S2S Loss: 0.00000
INFO:2023-03-08 11:36:10,253: Epoch [1/250], Step [2450/2474], Mel Loss: 0.78266, Adv Loss: 0.71363, Disc Loss: 1.37966, Mono Loss: 0.00000, S2S Loss: 0.00000
INFO:2023-03-08 11:36:40,376: Validation mel loss: 0.856
INFO:2023-03-08 11:38:05,372: Epoch [2/250], Step [50/2474], Mel Loss: 0.77894, Adv Loss: 0.74041, Disc Loss: 1.39740, Mono Loss: 0.00000, S2S Loss: 0.00000
INFO:2023-03-08 11:39:27,455: Epoch [2/250], Step [100/2474], Mel Loss: 0.77464, Adv Loss: 0.66990, Disc Loss: 1.36157, Mono Loss: 0.00000, S2S Loss: 0.00000
INFO:2023-03-08 11:40:48,830: Epoch [2/250], Step [150/2474], Mel Loss: 0.77768, Adv Loss: 0.66919, Disc Loss: 1.37995, Mono Loss: 0.00000, S2S Loss: 0.00000
INFO:2023-03-08 11:42:10,244: Epoch [2/250], Step [200/2474], Mel Loss: 0.77764, Adv Loss: 0.67055, Disc Loss: 1.37213, Mono Loss: 0.00000, S2S Loss: 0.00000
INFO:2023-03-08 11:43:30,985: Epoch [2/250], Step [250/2474], Mel Loss: 0.77018, Adv Loss: 0.76202, Disc Loss: 1.39345, Mono Loss: 0.00000, S2S Loss: 0.00000
INFO:2023-03-08 11:44:54,519: Epoch [2/250], Step [300/2474], Mel Loss: 0.77052, Adv Loss: 0.68487, Disc Loss: 1.38249, Mono Loss: 0.00000, S2S Loss: 0.00000
INFO:2023-03-08 11:46:13,839: Epoch [2/250], Step [350/2474], Mel Loss: 0.76794, Adv Loss: 0.64565, Disc Loss: 1.38115, Mono Loss: 0.00000, S2S Loss: 0.00000
INFO:2023-03-08 11:47:37,100: Epoch [2/250], Step [400/2474], Mel Loss: 0.77811, Adv Loss: 0.78537, Disc Loss: 1.37732, Mono Loss: 0.00000, S2S Loss: 0.00000
INFO:2023-03-08 11:49:00,492: Epoch [2/250], Step [450/2474], Mel Loss: 0.77090, Adv Loss: 0.76601, Disc Loss: 1.37780, Mono Loss: 0.00000, S2S Loss: 0.00000
INFO:2023-03-08 11:50:21,358: Epoch [2/250], Step [500/2474], Mel Loss: 0.76687, Adv Loss: 0.69679, Disc Loss: 1.38147, Mono Loss: 0.00000, S2S Loss: 0.00000
INFO:2023-03-08 11:51:44,346: Epoch [2/250], Step [550/2474], Mel Loss: 0.77062, Adv Loss: 0.72167, Disc Loss: 1.38426, Mono Loss: 0.00000, S2S Loss: 0.00000
INFO:2023-03-08 11:53:06,196: Epoch [2/250], Step [600/2474], Mel Loss: 0.77390, Adv Loss: 0.73687, Disc Loss: 1.38302, Mono Loss: 0.00000, S2S Loss: 0.00000
INFO:2023-03-08 11:54:27,630: Epoch [2/250], Step [650/2474], Mel Loss: 0.76318, Adv Loss: 0.63984, Disc Loss: 1.38282, Mono Loss: 0.00000, S2S Loss: 0.00000
INFO:2023-03-08 11:55:52,265: Epoch [2/250], Step [700/2474], Mel Loss: 0.76137, Adv Loss: 0.77811, Disc Loss: 1.38752, Mono Loss: 0.00000, S2S Loss: 0.00000
INFO:2023-03-08 11:57:14,884: Epoch [2/250], Step [750/2474], Mel Loss: 0.75916, Adv Loss: 0.64233, Disc Loss: 1.39799, Mono Loss: 0.00000, S2S Loss: 0.00000
INFO:2023-03-08 11:58:35,939: Epoch [2/250], Step [800/2474], Mel Loss: 0.75497, Adv Loss: 0.77586, Disc Loss: 1.39783, Mono Loss: 0.00000, S2S Loss: 0.00000
INFO:2023-03-08 11:59:58,540: Epoch [2/250], Step [850/2474], Mel Loss: 0.75445, Adv Loss: 0.76200, Disc Loss: 1.38457, Mono Loss: 0.00000, S2S Loss: 0.00000
INFO:2023-03-08 12:01:21,015: Epoch [2/250], Step [900/2474], Mel Loss: 0.75281, Adv Loss: 0.67178, Disc Loss: 1.37320, Mono Loss: 0.00000, S2S Loss: 0.00000
INFO:2023-03-08 12:02:42,011: Epoch [2/250], Step [950/2474], Mel Loss: 0.75378, Adv Loss: 0.66969, Disc Loss: 1.39808, Mono Loss: 0.00000, S2S Loss: 0.00000
INFO:2023-03-08 12:04:03,239: Epoch [2/250], Step [1000/2474], Mel Loss: 0.75831, Adv Loss: 0.65280, Disc Loss: 1.38786, Mono Loss: 0.00000, S2S Loss: 0.00000
INFO:2023-03-08 12:05:25,742: Epoch [2/250], Step [1050/2474], Mel Loss: 0.75710, Adv Loss: 0.68178, Disc Loss: 1.37010, Mono Loss: 0.00000, S2S Loss: 0.00000
INFO:2023-03-08 12:06:47,484: Epoch [2/250], Step [1100/2474], Mel Loss: 0.74836, Adv Loss: 0.66073, Disc Loss: 1.37225, Mono Loss: 0.00000, S2S Loss: 0.00000
INFO:2023-03-08 12:08:09,968: Epoch [2/250], Step [1150/2474], Mel Loss: 0.74820, Adv Loss: 0.67754, Disc Loss: 1.36977, Mono Loss: 0.00000, S2S Loss: 0.00000
INFO:2023-03-08 12:09:30,747: Epoch [2/250], Step [1200/2474], Mel Loss: 0.74801, Adv Loss: 0.77410, Disc Loss: 1.37829, Mono Loss: 0.00000, S2S Loss: 0.00000
INFO:2023-03-08 12:10:51,214: Epoch [2/250], Step [1250/2474], Mel Loss: 0.75574, Adv Loss: 0.71037, Disc Loss: 1.39263, Mono Loss: 0.00000, S2S Loss: 0.00000
